HallName: Colloseum
RowName,RowId,TotalSeats,GapInFront,SeatNumber,SeatType,SeatStatus
A,1,16,false,1,STANDARD,FREE
A,1,16,false,2,STANDARD,FREE
A,1,16,false,3,STANDARD,FREE
A,1,16,false,4,STANDARD,FREE
A,1,16,false,5,STANDARD,BOOKED
A,1,16,false,6,STANDARD,BOOKED
A,1,16,false,7,STANDARD,BOOKED
A,1,16,false,8,STANDARD,FREE
A,1,16,false,9,STANDARD,FREE
A,1,16,false,10,STANDARD,FREE
A,1,16,false,11,STANDARD,RESERVED
A,1,16,false,12,STANDARD,RESERVED
A,1,16,false,13,STANDARD,RESERVED
A,1,16,false,14,STANDARD,FREE
A,1,16,false,15,STANDARD,FREE
A,1,16,false,16,STANDARD,FREE
B,2,18,false,1,STANDARD,BOOKED
B,2,18,false,2,STANDARD,BOOKED
B,2,18,false,3,STANDARD,FREE
B,2,18,false,4,STANDARD,FREE
B,2,18,false,5,STANDARD,FREE
B,2,18,false,6,STANDARD,FREE
B,2,18,false,7,STANDARD,FREE
B,2,18,false,8,STANDARD,FREE
B,2,18,false,9,STANDARD,BOOKED
B,2,18,false,10,STANDARD,BOOKED
B,2,18,false,11,STANDARD,FREE
B,2,18,false,12,STANDARD,FREE
B,2,18,false,13,STANDARD,FREE
B,2,18,false,14,STANDARD,FREE
B,2,18,false,15,STANDARD,FREE
B,2,18,false,16,STANDARD,FREE
B,2,18,false,17,STANDARD,FREE
B,2,18,false,18,STANDARD,FREE
C,3,20,false,1,STANDARD,BOOKED
C,3,20,false,2,STANDARD,BOOKED
C,3,20,false,3,STANDARD,FREE
C,3,20,false,4,STANDARD,FREE
C,3,20,false,5,STANDARD,FREE
C,3,20,false,6,STANDARD,FREE
C,3,20,false,7,STANDARD,RESERVED
C,3,20,false,8,STANDARD,RESERVED
C,3,20,false,9,STANDARD,FREE
C,3,20,false,10,STANDARD,FREE
C,3,20,false,11,STANDARD,FREE
C,3,20,false,12,STANDARD,FREE
C,3,20,false,13,STANDARD,BOOKED
C,3,20,false,14,STANDARD,BOOKED
C,3,20,false,15,STANDARD,BOOKED
C,3,20,false,16,STANDARD,FREE
C,3,20,false,17,STANDARD,FREE
C,3,20,false,18,STANDARD,FREE
C,3,20,false,19,STANDARD,FREE
C,3,20,false,20,STANDARD,FREE
D,4,22,true,1,PREMIUM,FREE
D,4,22,true,2,PREMIUM,FREE
D,4,22,true,3,PREMIUM,FREE
D,4,22,true,4,PREMIUM,FREE
D,4,22,true,5,PREMIUM,FREE
D,4,22,true,6,PREMIUM,BOOKED
D,4,22,true,7,PREMIUM,BOOKED
D,4,22,true,8,PREMIUM,FREE
D,4,22,true,9,PREMIUM,FREE
D,4,22,true,10,PREMIUM,RESERVED
D,4,22,true,11,PREMIUM,RESERVED
D,4,22,true,12,PREMIUM,RESERVED
D,4,22,true,13,PREMIUM,RESERVED
D,4,22,true,14,PREMIUM,FREE
D,4,22,true,15,PREMIUM,FREE
D,4,22,true,16,PREMIUM,FREE
D,4,22,true,17,PREMIUM,FREE
D,4,22,true,18,PREMIUM,BOOKED
D,4,22,true,19,PREMIUM,BOOKED
D,4,22,true,20,PREMIUM,BOOKED
D,4,22,true,21,PREMIUM,FREE
D,4,22,true,22,PREMIUM,FREE
E,5,24,false,1,PREMIUM,FREE
E,5,24,false,2,PREMIUM,FREE
E,5,24,false,3,PREMIUM,FREE
E,5,24,false,4,PREMIUM,FREE
E,5,24,false,5,PREMIUM,FREE
E,5,24,false,6,PREMIUM,FREE
E,5,24,false,7,PREMIUM,FREE
