HallName: Main Hall
RowName,RowId,TotalSeats,GapInFront,SeatNumber,SeatType,SeatStatus
A,1,15,false,1,DELUXE,BOOKED
A,1,15,false,2,DELUXE,BOOKED
A,1,15,false,3,DELUXE,BOOKED
A,1,15,false,4,DELUXE,RESERVED
A,1,15,false,5,DELUXE,BOOKED
A,1,15,false,6,DELUXE,BOOKED
A,1,15,false,7,DELUXE,OUT_OF_ORDER
A,1,15,false,8,DELUXE,FREE
A,1,15,false,9,DELUXE,BOOKED
A,1,15,false,10,DELUXE,BOOKED
A,1,15,false,11,DELUXE,FREE
A,1,15,false,12,DELUXE,RESERVED
A,1,15,false,13,DELUXE,FREE
A,1,15,false,14,DELUXE,FREE
A,1,15,false,15,DELUXE,BOOKED
B,2,15,false,1,DELUXE,BOOKED
B,2,15,false,2,DELUXE,FREE
B,2,15,false,3,DELUXE,FREE
B,2,15,false,4,DELUXE,FREE
B,2,15,false,5,DELUXE,BOOKED
B,2,15,false,6,DELUXE,BOOKED
B,2,15,false,7,DELUXE,RESERVED
B,2,15,false,8,DELUXE,FREE
B,2,15,false,9,DELUXE,FREE
B,2,15,false,10,DELUXE,FREE
B,2,15,false,11,DELUXE,OUT_OF_ORDER
B,2,15,false,12,DELUXE,FREE
B,2,15,false,13,DELUXE,BOOKED
B,2,15,false,14,DELUXE,FREE
B,2,15,false,15,DELUXE,RESERVED
C,3,15,true,1,PREMIUM,FREE
C,3,15,true,2,PREMIUM,FREE
C,3,15,true,3,PREMIUM,FREE
C,3,15,true,4,PREMIUM,BOOKED
C,3,15,true,5,PREMIUM,FREE
C,3,15,true,6,PREMIUM,RESERVED
C,3,15,true,7,PREMIUM,FREE
C,3,15,true,8,PREMIUM,BOOKED
C,3,15,true,9,PREMIUM,BOOKED
C,3,15,true,10,PREMIUM,FREE
C,3,15,true,11,PREMIUM,FREE
C,3,15,true,12,PREMIUM,FREE
C,3,15,true,13,PREMIUM,OUT_OF_ORDER
C,3,15,true,14,PREMIUM,FREE
C,3,15,true,15,PREMIUM,BOOKED
D,4,15,false,1,PREMIUM,BOOKED
D,4,15,false,2,PREMIUM,BOOKED
D,4,15,false,3,PREMIUM,BOOKED
D,4,15,false,4,PREMIUM,FREE
D,4,15,false,5,PREMIUM,RESERVED
D,4,15,false,6,PREMIUM,FREE
D,4,15,false,7,PREMIUM,FREE
D,4,15,false,8,PREMIUM,FREE
D,4,15,false,9,PREMIUM,OUT_OF_ORDER
D,4,15,false,10,PREMIUM,FREE
D,4,15,false,11,PREMIUM,BOOKED
D,4,15,false,12,PREMIUM,FREE
D,4,15,false,13,PREMIUM,RESERVED
D,4,15,false,14,PREMIUM,FREE
D,4,15,false,15,PREMIUM,FREE
E,5,15,false,1,PREMIUM,FREE
E,5,15,false,2,PREMIUM,RESERVED
E,5,15,false,3,PREMIUM,FREE
E,5,15,false,4,PREMIUM,BOOKED
E,5,15,false,5,PREMIUM,BOOKED
E,5,15,false,6,PREMIUM,FREE
E,5,15,false,7,PREMIUM,FREE
E,5,15,false,8,PREMIUM,RESERVED
E,5,15,false,9,PREMIUM,FREE
E,5,15,false,10,PREMIUM,OUT_OF_ORDER
E,5,15,false,11,PREMIUM,FREE
E,5,15,false,12,PREMIUM,FREE
E,5,15,false,13,PREMIUM,BOOKED
E,5,15,false,14,PREMIUM,FREE
E,5,15,false,15,PREMIUM,FREE
F,6,15,false,1,PREMIUM,FREE
F,6,15,false,2,PREMIUM,FREE
F,6,15,false,3,PREMIUM,BOOKED
F,6,15,false,4,PREMIUM,FREE
F,6,15,false,5,PREMIUM,OUT_OF_ORDER
F,6,15,false,6,PREMIUM,FREE
F,6,15,false,7,PREMIUM,BOOKED
F,6,15,false,8,PREMIUM,BOOKED
F,6,15,false,9,PREMIUM,FREE
F,6,15,false,10,PREMIUM,FREE
F,6,15,false,11,PREMIUM,RESERVED
F,6,15,false,12,PREMIUM,FREE
F,6,15,false,13,PREMIUM,FREE
F,6,15,false,14,PREMIUM,BOOKED
F,6,15,false,15,PREMIUM,FREE
G,7,15,true,1,STANDARD,BOOKED
G,7,15,true,2,STANDARD,FREE
G,7,15,true,3,STANDARD,FREE
G,7,15,true,4,STANDARD,RESERVED
G,7,15,true,5,STANDARD,FREE
G,7,15,true,6,STANDARD,FREE
G,7,15,true,7,STANDARD,BOOKED
G,7,15,true,8,STANDARD,OUT_OF_ORDER
G,7,15,true,9,STANDARD,FREE
G,7,15,true,10,STANDARD,FREE
G,7,15,true,11,STANDARD,BOOKED
G,7,15,true,12,STANDARD,FREE
G,7,15,true,13,STANDARD,RESERVED
G,7,15,true,14,STANDARD,FREE
G,7,15,true,15,STANDARD,FREE
H,8,15,false,1,STANDARD,FREE
H,8,15,false,2,STANDARD,OUT_OF_ORDER
H,8,15,false,3,STANDARD,FREE
H,8,15,false,4,STANDARD,FREE
H,8,15,false,5,STANDARD,BOOKED
H,8,15,false,6,STANDARD,FREE
H,8,15,false,7,STANDARD,RESERVED
H,8,15,false,8,STANDARD,FREE
H,8,15,false,9,STANDARD,FREE
H,8,15,false,10,STANDARD,BOOKED
H,8,15,false,11,STANDARD,FREE
H,8,15,false,12,STANDARD,FREE
H,8,15,false,13,STANDARD,FREE
H,8,15,false,14,STANDARD,BOOKED
H,8,15,false,15,STANDARD,RESERVED
I,9,15,false,1,STANDARD,FREE
I,9,15,false,2,STANDARD,FREE
I,9,15,false,3,STANDARD,RESERVED
I,9,15,false,4,STANDARD,BOOKED
I,9,15,false,5,STANDARD,FREE
I,9,15,false,6,STANDARD,FREE
I,9,15,false,7,STANDARD,FREE
I,9,15,false,8,STANDARD,BOOKED
I,9,15,false,9,STANDARD,FREE
I,9,15,false,10,STANDARD,OUT_OF_ORDER
I,9,15,false,11,STANDARD,FREE
I,9,15,false,12,STANDARD,RESERVED
I,9,15,false,13,STANDARD,FREE
I,9,15,false,14,STANDARD,FREE
I,9,15,false,15,STANDARD,BOOKED
J,10,15,false,1,STANDARD,BOOKED
J,10,15,false,2,STANDARD,BOOKED
J,10,15,false,3,STANDARD,FREE
J,10,15,false,4,STANDARD,FREE
J,10,15,false,5,STANDARD,RESERVED
J,10,15,false,6,STANDARD,FREE
J,10,15,false,7,STANDARD,OUT_OF_ORDER
J,10,15,false,8,STANDARD,FREE
J,10,15,false,9,STANDARD,FREE
J,10,15,false,10,STANDARD,FREE
J,10,15,false,11,STANDARD,BOOKED
J,10,15,false,12,STANDARD,FREE
J,10,15,false,13,STANDARD,FREE
J,10,15,false,14,STANDARD,RESERVED
J,10,15,false,15,STANDARD,FREE
