HallName: Red
RowName,RowId,TotalSeats,GapInFront,SeatNumber,SeatType,SeatStatus
A,0,12,false,1,STANDARD,BOOKED
A,0,12,false,2,STANDARD,BOOKED
A,0,12,false,3,STANDARD,FREE
A,0,12,false,4,STANDARD,FREE
A,0,12,false,5,STANDARD,FREE
A,0,12,false,6,STANDARD,FREE
A,0,12,false,7,STANDARD,FREE
A,0,12,false,8,STANDARD,FREE
A,0,12,false,9,STANDARD,FREE
A,0,12,false,10,STANDARD,FREE
A,0,12,false,11,STANDARD,FREE
A,0,12,false,12,STANDARD,FREE
B,1,14,false,1,STANDARD,FREE
B,1,14,false,2,STANDARD,FREE
B,1,14,false,3,STANDARD,FREE
B,1,14,false,4,STANDARD,FREE
B,1,14,false,5,STANDARD,FREE
B,1,14,false,6,STANDARD,FREE
B,1,14,false,7,STANDARD,FREE
B,1,14,false,8,STANDARD,FREE
B,1,14,false,9,STANDARD,FREE
B,1,14,false,10,STANDARD,FREE
B,1,14,false,11,STANDARD,FREE
B,1,14,false,12,STANDARD,FREE
B,1,14,false,13,STANDARD,FREE
B,1,14,false,14,STANDARD,FREE
C,2,14,false,1,STANDARD,FREE
C,2,14,false,2,STANDARD,FREE
C,2,14,false,3,STANDARD,FREE
C,2,14,false,4,STANDARD,FREE
C,2,14,false,5,STANDARD,FREE
C,2,14,false,6,STANDARD,FREE
C,2,14,false,7,STANDARD,FREE
C,2,14,false,8,STANDARD,FREE
C,2,14,false,9,STANDARD,FREE
C,2,14,false,10,STANDARD,FREE
C,2,14,false,11,STANDARD,FREE
C,2,14,false,12,STANDARD,FREE
C,2,14,false,13,STANDARD,FREE
C,2,14,false,14,STANDARD,FREE
D,3,16,false,1,STANDARD,FREE
D,3,16,false,2,STANDARD,FREE
D,3,16,false,3,STANDARD,FREE
D,3,16,false,4,STANDARD,FREE
D,3,16,false,5,STANDARD,FREE
D,3,16,false,6,STANDARD,FREE
D,3,16,false,7,STANDARD,FREE
D,3,16,false,8,STANDARD,FREE
D,3,16,false,9,STANDARD,FREE
D,3,16,false,10,STANDARD,FREE
D,3,16,false,11,STANDARD,FREE
D,3,16,false,12,STANDARD,FREE
D,3,16,false,13,STANDARD,FREE
D,3,16,false,14,STANDARD,FREE
D,3,16,false,15,STANDARD,FREE
D,3,16,false,16,STANDARD,FREE
E,4,16,false,1,STANDARD,FREE
E,4,16,false,2,STANDARD,FREE
E,4,16,false,3,STANDARD,FREE
E,4,16,false,4,STANDARD,FREE
E,4,16,false,5,STANDARD,BOOKED
E,4,16,false,6,STANDARD,BOOKED
E,4,16,false,7,STANDARD,BOOKED
E,4,16,false,8,STANDARD,BOOKED
E,4,16,false,9,STANDARD,BOOKED
E,4,16,false,10,STANDARD,FREE
E,4,16,false,11,STANDARD,FREE
E,4,16,false,12,STANDARD,FREE
E,4,16,false,13,STANDARD,FREE
E,4,16,false,14,STANDARD,FREE
E,4,16,false,15,STANDARD,FREE
E,4,16,false,16,STANDARD,FREE
F,5,18,true,1,PREMIUM,FREE
F,5,18,true,2,PREMIUM,FREE
F,5,18,true,3,PREMIUM,FREE
F,5,18,true,4,PREMIUM,FREE
F,5,18,true,5,PREMIUM,FREE
F,5,18,true,6,PREMIUM,FREE
F,5,18,true,7,PREMIUM,FREE
F,5,18,true,8,PREMIUM,FREE
F,5,18,true,9,PREMIUM,FREE
F,5,18,true,10,PREMIUM,FREE
F,5,18,true,11,PREMIUM,FREE
F,5,18,true,12,PREMIUM,FREE
F,5,18,true,13,PREMIUM,FREE
F,5,18,true,14,PREMIUM,FREE
F,5,18,true,15,PREMIUM,FREE
F,5,18,true,16,PREMIUM,FREE
F,5,18,true,17,PREMIUM,FREE
F,5,18,true,18,PREMIUM,FREE
G,6,18,false,1,PREMIUM,FREE
G,6,18,false,2,PREMIUM,FREE
G,6,18,false,3,PREMIUM,FREE
G,6,18,false,4,PREMIUM,FREE
G,6,18,false,5,PREMIUM,FREE
G,6,18,false,6,PREMIUM,FREE
G,6,18,false,7,PREMIUM,FREE
G,6,18,false,8,PREMIUM,FREE
G,6,18,false,9,PREMIUM,FREE
G,6,18,false,10,PREMIUM,FREE
G,6,18,false,11,PREMIUM,FREE
G,6,18,false,12,PREMIUM,FREE
G,6,18,false,13,PREMIUM,FREE
G,6,18,false,14,PREMIUM,FREE
G,6,18,false,15,PREMIUM,FREE
G,6,18,false,16,PREMIUM,FREE
G,6,18,false,17,PREMIUM,FREE
G,6,18,false,18,PREMIUM,FREE
H,7,10,false,1,DELUXE,FREE
H,7,10,false,2,DELUXE,FREE
H,7,10,false,3,DELUXE,FREE
H,7,10,false,4,DELUXE,FREE
H,7,10,false,5,DELUXE,OUT_OF_ORDER
H,7,10,false,6,DELUXE,FREE
H,7,10,false,7,DELUXE,FREE
H,7,10,false,8,DELUXE,FREE
H,7,10,false,9,DELUXE,FREE
H,7,10,false,10,DELUXE,FREE
